input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.neunet.2012.02.016	doi:10.1016/j.neunet.2012.02.016	doi:10.1016/j.neunet.2012.02.016	yUdxG2w5
doi:10.1145/1143844.1143865	doi:10.1145/1143844.1143865	doi:10.1145/1143844.1143865	1GIvuquHs
doi:10.1186/s13040-017-0154-4	doi:10.1186/s13040-017-0154-4	doi:10.1186/s13040-017-0154-4	BnXfrP0P
doi:10.1145/2872427.2883029	doi:10.1145/2872427.2883029	doi:10.1145/2872427.2883029	1OybmUkQ
doi:10.25080/majora-92bf1922-00a	doi:10.25080/majora-92bf1922-00a	doi:10.25080/majora-92bf1922-00a	U5AcoDOX
doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	kEX5dgzK
